,astronaut_id,selection_id,year_of_selection
550,273,NASA- 12,1987
551,273,NASA- 12,1987
552,273,NASA- 12,1987
553,274,NASA- 12,1987
554,274,NASA- 12,1987
555,274,NASA- 12,1987
556,275,United States Microgravity Labratory-1,1990
557,276,Spacelab-3,1983
558,277,NPOE-8,1987
559,278,CNES-2/EAC,1985
560,278,CNES-2/EAC,1985
561,279,NASA- 12,1987
562,279,NASA- 12,1987
563,279,NASA- 12,1987
564,280,1978 ESA Group,1978
565,280,1978 ESA Group,1978
566,280,1978 ESA Group,1978
567,280,1978 ESA Group,1978
568,282,NASA- 12,1987
569,282,NASA- 12,1987
570,282,NASA- 12,1987
571,282,NASA- 12,1987
572,282,NASA- 12,1987
573,283,NASA- 12,1987
574,283,NASA- 12,1987
575,283,NASA- 12,1987
576,284,NASA- 12,1987
577,285,NASDA-1,1985
578,286,1983 NRC Group,1983
579,286,1983 NRC Group,1983
580,287,NASA- 13,1990
581,287,NASA- 13,1990
582,287,NASA- 13,1990
583,288,NASA- 13,1990
584,288,NASA- 13,1990
585,288,NASA- 13,1990
586,289,NPOE-9,1989
587,290,NASA- 13,1990
588,290,NASA- 13,1990
589,290,NASA- 13,1990
590,291,NASA-13,1990
591,291,NASA-13,1990
592,291,NASA-13,1990
593,291,NASA-13,1990
594,292,NASA-13,1990
595,292,NASA-13,1990
596,292,NASA-13,1990
597,292,NASA-13,1990
598,293,NASA Astronaut Group 13,1990
599,293,NASA Astronaut Group 14,1990
600,294,DLR-2/EAC,1987
601,295,DLR-2/EAC,1987
602,295,DLR-2/EAC,1987
603,296,NASA- 13,1990
604,296,NASA- 13,1990
605,297,1990 NASA group,1990
606,297,1990 NASA group,1990
607,297,1990 NASA group,1990
608,297,1990 NASA group,1990
609,298,1990 NASA group,1990
610,298,1990 NASA group,1990
611,298,1990 NASA group,1990
612,299,TsPK-8,1987
613,299,TsPK-8,1987
614,300,CNES-2/EAC,1985
615,300,CNES-2/EAC,1985
616,301,NASA-13,1990
617,301,NASA-13,1990
618,301,NASA-13,1990
619,302,NASA- 13,1990
620,302,NASA- 13,1990
621,303,1990 NASA group,1990
622,303,1990 NASA group,1990
623,304,1990 NASA group 13,1990
624,304,1990 NASA group 13,1990
625,305,NASA- 13,1990
626,305,NASA- 13,1990
627,305,NASA- 13,1990
628,305,NASA- 13,1990
629,306,1990 NASA group,1990
630,306,1990 NASA group,1990
631,306,1990 NASA group,1990
632,307,PS for STS-58,1992
633,308,1989 NPOE Cosmonaut Group,1989
634,309,1990 NASA group 13,1990
635,309,1990 NASA group 13,1990
636,310,NASA- 13,1990
