name,manufacturer,mass,impulse,thrust,isp,burn_duration,chambers
SEPR 739-2,ONERA,1702.0,,170.0,234.0,20.0,1.0
SICBM3,HERC,1550.0,,88.0,,,1.0
NA 802 Soleil C,SNPE,1530.0,4680.0,120.0,245.0,39.0,4.0
KN-02 Motor,CMIK,1530.0,,,,,1.0
KN-23 Motor,CMIK,1530.0,,,,,1.0
9M79,VOTK,1530.0,,,,,1.0
9M79-1,VOTK,1530.0,,,,,1.0
SLV-3-3,VSSC,1500.0,,90.7,276.9,45.0,1.0
SLV-3-3/D4,VSSC,1500.0,,90.7,276.9,50.0,1.0
Talos Mk 11 Mod 2,ABL,1500.0,2700.0,516.0,,5.3,1.0
IAI-Arrow-1,IAI,1500.0,,,,,1.0
IAI-Arrow-2,IAI,1500.0,,,,,1.0
IAI-Arrow-3,IAI,1500.0,,,,,1.0
48N6,FAKEL,1500.0,,,,,1.0
SEP 403,SEP,1500.0,,100.0,,40.0,1.0
TX-175,THKXM,1473.0,,85.0,,39.0,1.0
KM-V1,NISST,1430.0,,52.0,298.0,73.0,1.0
Star 37XE,THKE,1401.0,,56.0,289.6,66.0,1.0
Star 31,THKE,1392.0,3738.0,82.3,293.5,45.0,1.0
Taurus,UNK,1343.0,1592.0,,,3.5,1.0
TX-261-3,THKX,1307.0,2761.0,244.0,,11.3,1.0
TX-261-2,THKX,1307.0,2761.0,244.0,,11.3,1.0
TX-261,THKX,1307.0,2761.0,244.0,,11.3,1.0
X-254 (1),ABL,1300.0,2376.0,59.4,,40.0,1.0
Astrobee F,AJSP,1300.0,2440.0,36.4,,51.1,1.0
TT-500,NASDA,1300.0,,116.0,,,1.0
JCR,NASDA,1300.0,,133.0,,,1.0
RH-560S,VSSC,1300.0,,119.0,,19.0,1.0
Raven 11,RPEW,1280.0,2502.0,105.0,,39.0,1.0
M-3A,NISST,1245.0,,61.0,283.0,54.0,1.0
Skybolt St2,AJSP,1230.0,,81.8,245.0,41.3,1.0
S-30,IAE,1205.0,2256.0,102.0,266.3,22.0,1.0
KN-ATACMS,KP,1200.0,,180.0,,,1.0
ATACMS,AJCA,1200.0,,180.0,,,1.0
K-BATS,HANWHA,1200.0,,,,,1.0
X-259,ABL,1275.0,,96.5,,,1.0
X-259-B3,ABL,1275.0,3225.0,93.1,281.4,35.9,1.0
X-254,ABL,1230.0,2330.0,60.5,255.0,39.0,1.0
TX-30,THKXM,1206.0,,44.5,,29.0,1.0
XM-30,THKXM,1200.0,,54.3,,37.0,1.0
KSR,KARI,1200.0,1700.0,86.3,235.0,20.0,1.0
KSR Booster,KARI,1200.0,1250.0,211.0,,5.9,1.0
Paekkom,ADD,1000.0,,,,,1.0
Acheron,UNK,1200.0,,,,,1.0
Black Sparrow,IAI,1200.0,,,,,1.0
Peregrine,MSFC,1200.0,,,,,1.0
Al Fatah,FATAH,1200.0,1950.0,130.0,238.0,15.0,1.0
Rook II,RPEW,1170.0,1735.0,,,7.0,1.0
26KS20000,BAL,1167.0,2251.0,89.0,230.2,26.0,1.0
BB Mk1,BAL,1167.0,2251.0,89.0,230.2,26.0,1.0
BB Mk3,BAL,1167.0,2251.0,89.0,230.2,26.0,1.0
Raven 1,RPEW,1160.0,,80.0,214.5,35.0,1.0
Raven 2,RPEW,1160.0,,80.0,214.5,35.0,1.0
Raven 5,RPEW,1160.0,,80.0,214.5,35.0,1.0
Raven 6,RPEW,1160.0,,80.0,214.5,35.0,1.0
Raven 7,RPEW,1160.0,,80.0,214.5,35.0,1.0
Star 37FM,THKE,1147.0,3052.0,45.8,291.8,66.4,1.0
Star 37E,THKE,1123.0,2911.0,,283.6,,1.0
23KS20000,BAL,1113.0,2050.0,89.0,217.0,23.0,1.0
SEPR 740,SEPR,1110.0,,,238.0,20.0,1.0
SEPR 740-3,SEPR,1110.0,,,238.0,20.0,1.0
K420,ISAS,1100.0,,,,17.0,1.0
K420H,ISAS,1100.0,,,,17.0,1.0
Star 37GV,THKE,1084.0,2825.0,87.0,290.0,49.0,1.0
Rook,RPEW,1057.0,1720.0,,,5.5,1.0
X-254 [1],ABL,1050.0,4200.0,62.0,255.0,39.0,1.0
Hyperbola-1 M4,HEXI,1050.0,,60.0,290.0,,1.0
Star 37C,THKE,1047.0,2708.0,,285.5,,1.0
Raven 8,RPEW,1018.0,,50.0,209.5,35.0,1.0
LPC-415,LPC,1000.0,,,,,1.0
Start,MITT,1000.0,,100.0,295.0,207.0,1.0
K-15 Booster,DRDO,1000.0,,,,,1.0
2S-SL,DRDO,1000.0,,,,,1.0
KSLV SRM,KARI,1000.0,,80.0,,44.0,1.0
NSPO Booster,NSPO,1000.0,,,,6.0,1.0
NSPO Sustainer,NSPO,1000.0,,,,30.0,1.0
Badr-1,ANSAL,1000.0,,,,,1.0
28D6,KAZOKB,1000.0,,,,,1.0
Seliger 1,DRG,1000.0,,50.0,,,1.0
Safir,IR,1000.0,,,,,1.0
Ababeel,PKNDC,1000.0,,,,,1.0
X-271,HERC,1000.0,,,,,1.0
M5E1  (XM42),THKXM,984.0,,,,,1.0
GEM 22,ATKABL,980.0,,92.1,,,1.0
Cygnus 40,THKE,972.0,,83.0,,26.0,1.0
15KS25000,BAL,970.0,1670.0,111.0,217.0,15.0,1.0
TX-664-4,THKXM,969.0,,,,6.2,1.0
S-31,IAE,961.0,1730.0,136.0,261.0,12.0,1.0
Star 37XFP,THKE,955.0,2538.0,38.0,290.0,66.0,1.0
Star 37XF,THKE,953.0,2340.0,56.0,290.0,66.0,1.0
Stromboli,SDP,942.0,1550.0,97.0,230.0,16.0,1.0
Star 37F,THKE,934.0,2445.0,,286.0,,1.0
Lance,GCR,761.0,1148.0,173.0,215.0,6.7,1.0
XM-45,THKX,922.0,,200.0,,6.0,1.0
5KS50000,THKX,900.0,,222.0,,5.0,1.0
TX-77,THKX,824.0,,227.0,,8.7,1.0
S-44,IAE,917.0,2250.0,30.8,281.9,73.0,1.0
RX-420,LAPAN,900.0,,,,,1.0
NOTS 500,NOTS,900.0,,,,45.0,1.0
RH-560,VSSC,900.0,,76.0,,19.0,1.0
SEPR 737,ONERA,900.0,,75.0,,16.0,1.0
Orion 38,ATKH,896.0,2185.0,36.0,289.6,69.6,1.0
Terrier Mk12 Mod 0,UNK,845.0,1157.0,257.5,195.4,4.4,1.0
L500,NISST,832.0,,65.0,249.3,27.0,1.0
X-256,ABL,820.0,1134.0,257.5,195.4,4.4,1.0
Terrier Mk12 Mod 1,ABL,817.0,1134.0,257.5,195.4,4.4,1.0
T48,HERCR,900.0,658.0,193.0,,3.4,1.0
SEPR 734-1,SEPR,800.0,1025.0,200.0,,5.0,1.0
B-611,ROKSN,800.0,,,,,1.0
N-25 Snark JATO,ABL,800.0,800.0,209.0,,4.0,1.0
HIBEX-U,HERC,800.0,,2180.0,,1.1,1.0
HIBEX,HERC,800.0,,2180.0,,1.1,1.0
4KS115000,AJ,800.0,2000.0,512.0,,4.0,1.0
4DS105000,ABL,800.0,1900.0,470.0,,4.0,1.0
X-202C3,ABL,800.0,1900.0,470.0,,4.0,1.0
P068,SEP,775.0,2300.0,52.5,280.0,46.5,1.0
Star 37D,THKE,719.0,1860.0,45.0,266.0,,1.0
Star 37B,THKE,718.0,1860.0,,291.0,,1.0
P064,SEP,712.0,2300.0,52.0,,45.0,1.0
Star 37S,THKE,711.0,1870.0,,287.3,,1.0
LEO-1,AJSP,710.0,1845.0,50.0,,51.5,1.0
Mk 72 UTC,UTC,710.0,,,,,1.0
Mk 72,AJCA,710.0,,,,,1.0
TU-223,THKU,700.0,,449.0,,2.4,1.0
SM-3-II-2,MHI,700.0,,,,,1.0
2.5-DS-59000,ABL,700.0,,265.0,,2.5,1.0
3-DS-47000,ABL,700.0,,209.0,,3.0,1.0
TT-500-S2,NASDA,700.0,,61.0,,,1.0
JCR-S2,NASDA,700.0,,54.0,,,1.0
S-310,ISAS,671.0,,80.0,,31.6,1.0
Trident Motor,NORTHC,670.0,,35.0,268.0,,2.0
Star 30E,THKE,666.0,1788.0,35.3,290.5,49.0,1.0
M5E1,ABL,630.0,640.0,195.6,,3.3,1.0
X-216A2,ABL,630.0,640.0,262.0,,2.5,1.0
XM5,ABL,630.0,,262.0,,2.5,1.0
M112,AJSP,630.0,,,,,1.0
Star 30C,THKE,629.0,1500.0,32.7,286.8,51.0,1.0
Star 37N,THKE,622.0,1591.0,,290.0,,1.0
Star 37,THKE,621.0,1585.0,,260.0,,1.0
Imp Malemute,THKU,619.0,1395.0,55.1,281.2,22.0,1.0
TX-486-1,THKX,619.0,1395.0,55.1,281.2,22.0,1.0
TU-758,THKU,619.0,1395.0,55.1,281.2,22.0,1.0
TX-16-1,THKX,618.0,,254.0,,2.4,1.0
TE-473,THKE,600.0,1400.0,80.0,238.0,15.0,1.0
Mk 56 ALTR,ATLR,600.0,,,,,1.0
Mk 56,AJSP,600.0,,,,,1.0
Zenith,CONTR,600.0,900.0,45.0,,21.0,1.0
KM-M,NISST,550.0,1375.0,32.0,293.0,63.0,1.0
Star 30BP,THKE,542.0,1460.0,27.0,292.0,54.0,1.0
Star 30B,THKE,537.0,1460.0,27.0,293.0,54.0,1.0
Mage 2,SEPB,520.0,,46.2,294.0,43.0,1.0
AS-4,VSSC,512.0,,35.0,281.0,33.4,1.0
